crop_circle_pattern,dataset_ref,n_fold,kluver_class,kluver_basis,sacred_motif,sacred_basis,verdict
"Concentric rings / nests (Tully 1966, Crooked Soley 2002, ringed circles)","dataset ids 5,35 + early rings",0 (radial),III — tunnels/funnels/cones,Klüver 1966; Bressloff 2001: vertical V1 stripes → concentric circles,mandala / bindu (concentric rings around centre),Sri Yantra bindu rings; mandala structure,DIRECT OVERLAP
"Single spirals & Julia sets (Stonehenge 1996, Milk Hill Galaxy 2001, Hackpen golden spiral 1999)","ids 21,30 + 1999 Hackpen",1 / 6-arm spiral,IV — spirals,oblique V1 stripes → log spirals (Bressloff 2002); DMT spirals/DNA 0.6% (Lawrence 2022),golden/Fibonacci spiral,Hackpen 1999 marketed as φ-spiral composite (ka-gold-jewelry),"DIRECT OVERLAP (chirality differs: crop spirals are architectural, DMT spirals log-polar)"
"Hexagonal/6-fold designs (Koch snowflakes 1997, 3-D cubes 2006/2012, honeycomb mandalas)","ids 23,24,40,51",6,I — lattices/honeycombs,hexagonal V1 planforms dominant (Ermentrout-Cowan 1979; Bressloff 2001),Flower of Life / hexagram / Metatron lattice,6-fold circle packing = hexagonal close packing (identical lattice),DIRECT OVERLAP — same wallpaper group
"4-fold designs (quintuplets 1983/88, interlocking squares 2002, box logo 2017)","ids 10,11,34,54",4,I — checkerboards/square lattices,square planforms from hypercolumn lattice,"quincunx, four-gates bhupura",Sri Yantra outer square with 4 gates,DIRECT OVERLAP
"3-fold designs (Barbury tetrahedron 1991, Triple Julia 1996, impossible triangle 1999)","ids 16,22,27",3,(hexagonal family subset),3-fold = sublattice of hexagonal planforms,tetrahedron / triquetra / lower Tree-of-Life triad,Barbury read as tetrahedral & Tree of Life (greatdreams; Hoagland),OVERLAP via hex family
"Radial spoke+ring webs (18-fold mandala 2023, 12-spoke Euler 2010, ratchet pi wheel 2008)","ids 58,48,42",18/12/10,II — cobwebs/filigree,radial rays = horizontal V1 stripes,"yantra wheels, chakra wheels",chakra = wheel; Web of Life motifs,PARTIAL — crop versions are high-order (10–18) vs typical low-order webs
"Faces & figures (Chilbolton Face 2001, Crabwood alien 2002)","ids 31,33",—,NOT a form constant,entities 45.5% of DMT reports (Lawrence 2022); face pareidolia (Liu et al. 2014),icons/deities,visionary art figures,"PARALLEL PHENOMENON (entities/faces), different mechanism"
"Grids with information (Chilbolton 23×73, Crabwood ASCII disc)","ids 32,33 disc",—,NOT in Klüver family,"no hallucination produces legible 1,679-bit content",—,—,"CONTRAST — designed information, not neurogenic geometry"
"Exact fractals (Koch I/II 1997, Mandelbrot 1991)","ids 17,23,24",—,partial — 'fractals' 32.6% of DMT reports,"DMT fractals are organic/self-similar-ish, not exact-iteration",—,—,"PARTIAL — crop fractals are mathematically exact (Koch iteration), DMT 'fractals' loosely self-similar"
"Impossible/3-D objects (impossible triangle 1999, 3-D towers 2006, cubes 2012)","ids 27,40,51",—,level-6 'non-Euclidean/impossible' geometry (Effect Index); tesseracts 0.4% (Lawrence 2022),"QRI hyperbolic geometry of DMT (2016, non-peer-reviewed)",impossible objects (Penrose),Escher lineage,OVERLAP in theme; crop versions are forced-perspective line art
"Flower of Life formations (2007, Woolstone Wells 2020)",dataset: Woolstone 2020 + 2007 formation,6,I — lattices,hexagonal planform,Flower of Life (explicit),name is 1990s New Age coinage (Melchizedek 1998/99),DIRECT OVERLAP — and postdates the name's coinage
Metatron's Cube (Sugar Hill 2007),external: symbolikon,6,I — lattices,hex planform,Metatron's Cube (explicit),name is late-20th-century New Age,DIRECT OVERLAP — postdates coinage
Tree of Life (1997 canola),external: crystalinks 1997,—,NOT a form constant,no hallucination class matches 10-node/22-path diagram,Kabbalistic Tree of Life,diagram is Kircher 1652 / Golden Dawn 19th c.,CONTRAST — pure cultural symbol
