id,authors,year,title,venue,type,claim,reception,url
1,J.R. Capron,1880,Circular storm-flattened spots in wheat (letter),Nature 22:290,peer-reviewed letter,Flattened circular spots caused by 'cyclonic wind action',First scientific description of the phenomenon,en.wikipedia.org/wiki/Crop_circle ref16
2,G.T. Meaden,1989,The formation of circular-symmetric crop-damage patterns by atmospheric vortices,Weather 44(1):2–10,peer-reviewed (Royal Met. Soc.),Circles made by electrically charged spinning air masses ('plasma vortices'),Collapsed after 1991 confession & complex pictograms; Zuckerman criticized methodology,rmets.org
3,G.T. Meaden,1989,The Circles Effect and Its Mysteries (book),Artetech Publishing,book (own press),Plasma-vortex theory book-length treatment,Popular among early cereologists,—
4,J. Nickell & J.F. Fischer,1992,The Crop-Circle Phenomenon: An Investigative Report,Skeptical Inquirer 16(2):136–149,skeptical investigative report,"Frequency escalation, geographic clustering, complexity evolution and 'shyness effect' all indicate hoaxing/social contagion",Seminal skeptical analysis; used Delgado & Andrews' own data,cdn.centerforinquiry.org p39.pdf
5,G.S. Hawkins,1992,Crop circle geometry & diatonic ratios,Science News 141:76; later Mathematics Teacher 91(5):441 (1998),scientific commentary,Formations embed Euclidean theorems and musical (diatonic) ratios,Hawkins himself concluded human creators with advanced mathematical ability,adsabs.harvard.edu
6,W.C. Levengood,1994,Anatomical anomalies in crop formation plants,Physiologia Plantarum 92(2):356–363. DOI:10.1111/j.1399-3054.1994.tb05348.x,peer-reviewed (contested),"Node swelling, expulsion cavities and germination changes 'cannot be accounted for by hoaxes'; transient heating implied","Criticized (Nickell 1996; Grassi et al. 2005): no blinding, mundane causes not excluded; never independently replicated",onlinelibrary.wiley.com
7,W.C. Levengood & J.A. Burke,1995,Semi-Molten Meteoric Iron Associated with a Crop Formation,Journal of Scientific Exploration 9(2):191–199,peer-reviewed (fringe venue),Iron 'glaze' of fused meteoritic particles in a Cherhill 1993 formation,Circlemaker Rob Irving says he dumped iron filings there as an art action — a cautionary tale,robirving.co.uk/PlayingPuck
8,J. Nickell,1995,Crop-Circle Mania: An Investigative Update,Skeptical Inquirer 19(2),skeptical investigative report,Secret 'shoelace' marker planted in a man-made circle; cereologists endorsed the circle as genuine,Demonstrated unreliable field authentication,skepticalinquirer.org
9,W.C. Levengood & N.P. Talbott,1999,Dispersion of energies in worldwide crop formations,Physiologia Plantarum 105(4):615–624. DOI:10.1034/j.1399-3054.1999.105404.x,peer-reviewed (contested),Node-length gradients fit EM energy absorption; >95% of formations attributed to ion plasma vortices,Main target of Grassi et al. 2005 statistical critique,onlinelibrary.wiley.com
10,E.H. Haselhoff,2001,Opinions and comments on Levengood & Talbott (1999),Physiologia Plantarum 111(1):123–125,journal commentary,Node-lengthening in two Dutch circles fits a point EM source ('ball of light') ~4.1 m above the field,Rebutted by Grassi et al. (2005); Haselhoff replied in JSE 2007,onlinelibrary.wiley.com
11,E.H. Haselhoff,2001,The Deepening Complexity of Crop Circles (book),Frog Ltd.,popular science book,Scientific case for anomalous circle origin,Popular; not peer-reviewed,—
12,J. Nickell,2002,Circular Reasoning: The 'Mystery' of Crop Circles and Their 'Orbs' of Light,Skeptical Inquirer 26(5):17–22,skeptical investigative report,Orb/light reports consistent with mundane causes; patterns traceable to human makers,Standard skeptical reference,skepticalinquirer.org
13,"F. Grassi, C. Cocheo & P. Russo",2005,Balls of Light: The Questionable Science of Crop Circles,Journal of Scientific Exploration 19(2):159–170,peer-reviewed critique (fringe venue),"Physiologia Plantarum crop-circle papers are pseudoscientific: sample sizes unstated, data selection, heating cannot explain nodes",Physiologia Plantarum refused to publish it; JSE exchange continued 2007,citeseerx.ist.psu.edu
14,J. Northcote,2006,Spatial distribution of England's crop circles: Using GIS to investigate a geo-spatial mystery,Geography Online 6(2),peer-reviewed (niche online journal),2002 English formations: 46% Wiltshire; ~44% within 15 km of Avebury; 32% within 3 km of trunk roads,Key statistical-geography paper: distribution indicates human agency,researchportal.murdoch.edu.au
15,R. Irving,2006,Playing Puck (MPhil thesis),MPhil thesis (self-archived),academic thesis / insider ethnography,Circle-making as performative art; documents the iron-filings episode,Unique maker-side academic account,robirving.co.uk
16,T. Meder,2007,Crop circle tales: narrative testimonies from the Dutch Frontier Science Movement,In: Reframing Dutch Culture (Ashgate),academic book chapter (ethnology),Crop-circle lore as Dutch frontier-science subculture narrative,Standard folklore-studies reference,europeansources.info
17,R. Taylor,2010,The crop circle evolves,Nature 465:693. DOI:10.1038/465693a,commissioned essay (not peer-reviewed research),Crop circles as a growing underground art movement blending math & technology,Widely cited mainstream framing as art,nature.com/articles/465693a
18,R.P. Taylor,2011,Coming soon to a field near you: the physics of crop-circle formation,Physics World 24(8):26–31,commissioned essay,"Modern makers could use GPS, lasers and microwave magnetrons to reproduce node anomalies (he replicated them himself)","Major press coverage ('GPS, lasers and microwaves')",physicsworld.com
19,"E.H. Haselhoff, A. Boerman & R. Bobbink",2014,An experimental study for reproduction of biological anomalies (Hoeven 1999),Journal of Scientific Exploration 28(1):17–33,peer-reviewed (fringe venue),Attempts to reproduce node anomalies experimentally,No mainstream uptake,scientificexploration.org
