year,count,scope,quality,note
1988,112,world cumulative-ish,E,SPR Psi Encyclopedia
1989,305,world,E,SPR Psi Encyclopedia (AP: 270 that summer)
1990,1000,world,E,"'almost 1,000' new circles (SPR)"
1991,250,world,E,200–300 reported
1997,175,England,E,'150–200/yr late 1990s' (Andy Thomas)
1998,175,England,E,same
1999,175,England,E,same
2005,70,UK,E,~70 (inferred from 2006 statement)
2006,50,UK,E,"'just under 50' (Andy Thomas, NEXUS)"
2007,60,UK,E,~60 (John Mitchell)
2016,68,world,E,truthagenda annual review
2018,49,world,E,truthagenda annual review
2019,54,world,E,~54 (Connector counter: 44+12 rumours)
2020,35,world,E,England >29 + ~6 international (lockdown)
2021,34,world,E,29 England + 5 international ('quietest year')
2023,21,Wiltshire-avg,M,380 in Wiltshire since 2005 ≈ 21/yr (BBC via secondary)
