id,name,date,date_approx,location,county,country,lat,lon,crop,geometry,size_m,circles,origin,maker,era,significance,sources,year,month,geometry_family
1,Mowing-Devil pamphlet,1678-08-22,0,Hertfordshire,Hertfordshire,England,51.8,-0.2,oats,devil-mown circle (folklore),,1.0,folklore,—,Precursor,"Earliest cited 'crop circle' reference (stalks were cut, not bent — likely not a true precedent)",en.wikipedia.org/wiki/Crop_circle,1678,8,folklore
2,Capron's circular spots,1880-07-01,1,Guildford area,Surrey,England,51.24,-0.57,wheat,simple circles,,,officially-unexplained,attributed to cyclonic wind,Precursor,"First scientific-journal description of flattened crop circles (Nature, 1880)",Nature 22:290 (1880),1880,7,other
3,Stoughton Down rings,1932-01-01,1,Stoughton Down,Sussex,England,50.86,-0.85,barley,dark rings,,4.0,officially-unexplained,—,Precursor,Archaeologist-documented lodged rings (E.C. Curwen),en.wikipedia.org/wiki/Crop_circle,1932,1,rings
4,Charlton 'crater' circles,1963-07-01,1,Charlton,Wiltshire,England,51.6,-1.95,wheat,circular/elliptical flattened areas,,,reported-unexplained,—,Precursor,Investigated by Patrick Moore; spiral flattening noted,"New Scientist, Aug 1963",1963,7,simple circles
5,Tully 'saucer nest',1966-01-19,0,"Horseshoe Lagoon, Tully",Queensland,Australia,-17.93,145.93,reeds,swirled nest,10.0,6.0,officially-unexplained,—,Precursor,Archetypal saucer nest; direct inspiration for Doug Bower,ufocasebook.com/tullysaucernest.html; RAAF file,1966,1,nest
6,Duhamel circles,1967-08-08,0,Duhamel,Alberta,Canada,53.0,-112.3,unknown,simple circles,,3.0,reported-unexplained,"Canadian DND: 'artificial', maker unknown",Precursor,Investigated by Canada's Dept. of National Defence,en.wikipedia.org/wiki/Crop_circle,1967,8,other
7,Bower & Chorley's first circle,1978-06-01,1,Cheesefoot Head area,Hampshire,England,51.05,-1.24,wheat,single circle,12.0,1.0,confessed-hoax,Doug Bower & Dave Chorley,Early circles (1978–89),Foundational act of the modern phenomenon; went unnoticed ~3 years,thecroppie.com; wikipedia,1978,6,simple circles
8,Bratton 'Mystery Circles',1980-08-15,0,Bratton/Westbury,Wiltshire,England,51.26,-2.12,oats,triplet of circles,18.0,3.0,confessed-hoax,attributed to Bower & Chorley,Early circles (1978–89),"First press coverage (Wiltshire Times, 15 Aug 1980)",Wiltshire Times 1980,1980,8,multiple circles
9,Cheesefoot Head triplet,1981-08-01,1,Cheesefoot Head,Hampshire,England,51.058,-1.278,wheat,symmetric triplet,18.0,3.0,confessed-hoax,Bower & Chorley,Early circles (1978–89),National media breakthrough; broke Meaden's simple whirlwind theory,"Manistre, Beginner's Guide",1981,8,multiple circles
10,Punchbowl quintuplet,1983-07-01,1,Cheesefoot Head,Hampshire,England,51.058,-1.278,wheat,quintuplet (quincunx),,5.0,confessed-hoax,Bower & Chorley,Early circles (1978–89),'ET phone the Express' headline era,"Manistre, Beginner's Guide",1983,7,multiple circles
11,Silbury Hill quintuplets,1988-07-01,1,Silbury Hill,Wiltshire,England,51.416,-1.857,wheat,quintuplets,,,reported-unexplained,—,Early circles (1978–89),Shifted the epicentre from Hampshire to Avebury/Wiltshire,"Manistre, Beginner's Guide",1988,7,multiple circles
12,Cheesefoot Head first pictogram,1990-06-01,1,Cheesefoot Head,Hampshire,England,51.058,-1.278,wheat,dumbbell pictogram,,,confessed-hoax,Bower & Chorley,Pictogram era (1990–95),First deliberate non-circular design,Paranormal Handbook; wikipedia,1990,6,pictogram
13,East Field double pictogram ('Led Zeppelin'),1990-07-12,0,"East Field, Alton Barnes",Wiltshire,England,51.36,-1.86,wheat,double pictogram,180.0,,reported-unexplained,—,Pictogram era (1990–95),Global media sensation; used on Led Zeppelin Boxed Set cover,wikipedia; divinecosmos.com,1990,7,pictogram
14,Operation Blackbird hoax,1990-07-25,0,Bratton,Wiltshire,England,51.26,-2.12,wheat,pictogram,,,confessed-hoax,army-assisted hoax,Pictogram era (1990–95),Andrews & Delgado authenticated a deliberate fake live on TV,hoaxes.org/archive/permalink/operation_blackbird,1990,7,pictogram
15,Etchilhampton formation,1990-07-01,1,Etchilhampton,Wiltshire,England,51.28,-1.93,wheat,pictogram,,,confessed-hoax,Mike Jay (confessed),Pictogram era (1990–95),"Declared alien-made, then its maker confessed",psi-encyclopedia.spr.ac.uk,1990,7,pictogram
16,Barbury Castle tetrahedron,1991-07-17,0,"Barbury Castle, Wroughton",Wiltshire,England,51.485,-1.785,wheat,tetrahedral pictogram,100.0,4.0,reported-unexplained,—,Pictogram era (1990–95),First formation read as 3-D sacred geometry; ratchet spiral ~100 m,greatdreams.com/crop/barbury,1991,7,pictogram
17,Ickleton Mandelbrot,1991-08-11,0,Ickleton,Cambridgeshire,England,52.07,0.18,wheat,Mandelbrot fractal,,,reported-unexplained,—,Pictogram era (1990–95),First explicit fractal design,www-users.york.ac.uk/~ss44/complex/cropmand.htm,1991,8,fractal
18,Székesfehérvár teen circle,1992-06-08,0,Székesfehérvár,Fejér,Hungary,47.19,18.41,wheat,single circle,36.0,1.0,confessed-hoax,Takács & Dallos (both 17),Pictogram era (1990–95),First people sued over a crop circle; court found 99% of damage came from tourists,wikipedia (Legal implications),1992,6,simple circles
19,Berkshire circle-making competition,1992-07-12,0,Berkshire,Berkshire,England,51.45,-1.0,wheat,various (competition),,,confessed-hoax,11 of 12 teams; won by Westland Helicopters engineers,Pictogram era (1990–95),Proved state-of-the-art designs were humanly feasible in ~5 hours,wikipedia (Art and business),1992,7,other
20,East Field 'DNA' double helix,1996-06-17,1,"East Field, Alton Barnes",Wiltshire,England,51.36,-1.86,wheat,double-helix chain,190.0,89.0,reported-unexplained,—,Fractal golden age (1996–2000),89-circle DNA chain ~190 m long,lucypringle.co.uk (uk1996ak); date disputed 17 Jun/17 Jul,1996,6,pictogram
21,Stonehenge Julia Set,1996-07-07,0,"opposite Stonehenge, A303",Wiltshire,England,51.183,-1.823,wheat,Julia-set fractal spiral,280.0,151.0,reported-unexplained,—,Fractal golden age (1996–2000),"Most famous formation ever; 151 circles, appeared in a claimed ~45-min daylight window",lucypringle.co.uk (uk1996ay),1996,7,fractal
22,Windmill Hill Triple Julia,1996-07-30,0,"Windmill Hill, Avebury Trusloe",Wiltshire,England,51.433,-1.874,wheat,triple Julia fractal,200.0,194.0,reported-unexplained,—,Fractal golden age (1996–2000),"Three interlinked Julia spirals, 194 circles, each with different lay",greatdreams.com,1996,7,fractal
